Dates,P01,P10,P00,P11
09/01/2018 18:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 18:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 18:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 18:55,1.60E-02,4.16E-04,9.84E-01,1.00E+00
09/01/2018 19:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 19:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 19:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 19:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 19:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 19:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 19:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 19:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 19:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 19:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 19:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 19:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:35,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:40,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:45,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:50,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 20:55,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 21:00,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 21:05,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 21:10,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 21:15,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 21:20,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 21:25,4.16E-04,1.60E-02,1.00E+00,9.84E-01
09/01/2018 21:30,4.16E-04,1.60E-02,1.00E+00,9.84E-01
